"region","species_name","cuid","cu_name_pse","exp","curr_spw","curr_spw_start_year","curr_spw_end_year","cu_enh_rank","psf_status","cosewic_status","cosewic_status_yr","wsp_status","wsp_status_yr","rollup_hi_pct","rollup_mod_pct","rollup_lo_pct"
"Skeena","Chum",220,"Skeena Estuary",NA,407,2016,2017,"Moderate","fair",NA,NA,NA,NA,0.297248478331593,0.489885887248965,0.212865634419441
"Skeena","Chinook",221,"Upper Bulkley River",NA,1927,2001,2006,"High","good",NA,NA,NA,NA,0.735746867908262,0.264253132091738,NA
"Skeena","Chinook",222,"Middle Skeena-Large Lakes",NA,9792,2015,2020,"High","fair",NA,NA,NA,NA,0.368072394292348,0.377074700075196,0.254852905632456
"Skeena","Pink (odd)",223,"Nass-Skeena Estuary (odd)",NA,104406,2017,2017,"Low","poor",NA,NA,NA,NA,0.270713682271794,0.474217682838666,0.25506863488954
"Skeena","Chinook",224,"Skeena Estuary",NA,NA,NA,NA,"Moderate","data-deficient",NA,NA,NA,NA,NA,1,NA
"Skeena","Coho",225,"Skeena Estuary",NA,4457,2013,2014,"Moderate","poor",NA,NA,NA,NA,0.301377503324575,0.601541097290153,0.0970813993852714
"Skeena","River sockeye",226,"Skeena River (river-type)",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,0.477103552972916,0.257193504441093,0.265702942585991
"Skeena","Chinook",227,"Lakelse",NA,NA,NA,NA,"Low","data-deficient",NA,NA,NA,NA,0.615838612798819,0.384161387201181,NA
"Skeena","Chinook",229,"Zymoetz",NA,927,2015,2020,"None","fair",NA,NA,NA,NA,0.172395902066192,0.486511596900333,0.341092501033475
"Skeena","Lake sockeye",230,"Footsore/Hodder",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Coho",231,"Upper Skeena",NA,12914,2015,2017,"None","good",NA,NA,NA,NA,0.0252582507321203,0.122395526577893,0.852346222689987
NA,NA,241,NA,NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA
"Skeena","Chum",242,"Upper Skeena",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,1,NA
"Columbia","Chinook",301,"Okanagan",NA,29,2018,2022,"None","good","Endangered",2015,"Red",2023,1,NA,NA
"Fraser","Chinook",302,"Boundary Bay (Fall 4-1)",NA,167,2015,2018,"High","good","Threatened",2018,NA,NA,1,NA,NA
"Fraser","Chinook",303,"Lower Fraser River (Fall 4-1)",NA,65835,2020,2023,"Moderate","fair","Threatened",2015,"Green",2012,1,NA,NA
"Fraser","Chinook",304,"Lower Fraser River (Spring 5-2)",NA,214,2019,2023,"Low","fair","Special Concern",2015,NA,NA,0.225347044047283,0.774652955952717,NA
"Fraser","Chinook",305,"Lower Fraser River-Upper Pitt (Summer 5-2)",NA,35,2019,2023,"Low","poor","Endangered",2015,"Data Deficient",2012,0.661755653354481,0.192820693557955,0.145423653087563
"Fraser","Chinook",306,"Lower Fraser River (Summer 5-2)",NA,41,2019,2023,"Low","fair","Threatened",2015,"Data Deficient",2012,0.311484507246623,0.359985142053632,0.328530350699745
"Fraser","Chinook",307,"Lower Fraser River-Maria Slough (Summer 4-1)",NA,38,2020,2023,"High","poor","Endangered",2018,NA,NA,1,NA,NA
"Fraser","Chinook",308,"Fraser Canyon-Nahatlatch (Spring 5-2)",NA,69,2019,2023,"None","good","Endangered",2015,"Data Deficient",2012,0.24982795471325,0.340092013654992,0.410080031631758
"Fraser","Chinook",309,"Middle Fraser River-Portage (Fall 5-2)",NA,50,2019,2023,"None","poor","Endangered",2015,"Red",2012,1,NA,NA
"Fraser","Chinook",310,"Middle Fraser River (Spring 5-2)",NA,3484,2019,2023,"Moderate","poor","Threatened",2015,"Red",2012,0.570845339126309,0.323649382930361,0.105505277943329
"Fraser","Chinook",311,"Middle Fraser River (Summer 5-2)",NA,9836,2019,2023,"Moderate","fair","Threatened",2015,"Amber",2012,0.658820982294409,0.311083295043402,0.0300957226621897
"Fraser","Chinook",312,"Upper Fraser River (Spring 5-2)",NA,8521,2019,2023,"Low","poor","Endangered",2015,"Red",2012,0.251129377853939,0.443675281739922,0.30519534040614
"Fraser","Chinook",313,"South Thompson River (Summer 4-1)",NA,164489,2020,2023,"None","good","Not at risk",2015,"Green",2012,0.684873562920764,0.315126437079236,NA
"Fraser","Chinook",314,"South Thompson River (Summer 5-2)",NA,1371,2019,2023,"Moderate","good","Endangered",2018,"Red_amber",2012,0.67297946382334,0.296031308260586,0.0309892279160738
"Fraser","Chinook",315,"Shuswap River (Summer 4-1)",NA,39420,2020,2023,"Moderate","good","Not at risk",2015,NA,NA,0.620364828393091,0.379635171606908,NA
"Fraser","Chinook",316,"South Thompson River-Bessette Creek (Summer 4-2)",NA,20,2022,2023,"None","fair","Endangered",2015,"Red",2012,1,NA,NA
"Fraser","Chinook",317,"Lower Thompson River (Spring 4-2)",NA,8703,2020,2023,"Moderate","good","Endangered",2018,"Red",2012,0.691727166713782,0.265530961401041,0.0427418718851766
"Fraser","Chinook",318,"North Thompson River (Spring 5-2)",NA,394,2019,2023,"Low","fair","Endangered",2015,"Red",2012,0.828731436859604,0.171268563140396,NA
"Fraser","Chinook",319,"North Thompson River (Summer 5-2)",NA,3392,2019,2023,"Low","fair","Endangered",2015,"Red",2012,0.7326459158802,0.152486277266477,0.114867806853323
"Vancouver Island & Mainland Inlets","Chinook",320,"Southern Mainland-Georgia Strait (Fall x-1)",NA,588,2014,2018,"High","good","Data Deficient",2018,NA,NA,0.253333580114358,0.267005919194223,0.479660500691419
"Vancouver Island & Mainland Inlets","Chinook",321,"East Vancouver Island-Goldstream (Fall x-1)",NA,4,2014,2018,"High","poor","Special Concern",2018,NA,NA,1,NA,NA
"Vancouver Island & Mainland Inlets","Chinook",322,"East Vancouver Island-Cowichan and Koksilah (Fall x-1)",NA,8509,2014,2018,"High","good","Special Concern",2018,NA,NA,0.825930252153373,0.121791574861957,0.0522781729846708
"Vancouver Island & Mainland Inlets","Chinook",323,"East Vancouver Island-Nanaimo (Spring x-2)",NA,NA,NA,NA,"None","data-deficient","Endangered",2015,"Data Deficient",2012,NA,1,NA
"Vancouver Island & Mainland Inlets","Chinook",324,"East Vancouver Island-Nanaimo and Chemainus (Fall x-1)",NA,2325,2014,2018,"High","good","Special Concern",2018,NA,NA,0.677839213989133,0.322160786010867,NA
"Vancouver Island & Mainland Inlets","Chinook",325,"East Vancouver Island-Qualicum and Puntledge (Fall x-1)",NA,14060,2014,2018,"High","good","Special Concern",2018,NA,NA,0.709942442040075,0.290057557959926,NA
"Vancouver Island & Mainland Inlets","Chinook",326,"Southern Mainland-Southern Fjords (Fall x-1)",NA,2349,2013,2017,"High","good","Data Deficient",2018,NA,NA,0.0628333395250479,0.563654470110273,0.373512190364679
"Vancouver Island & Mainland Inlets","Chinook",327,"East Vancouver Island-North (Fall x-1)",NA,7359,2014,2018,"High","poor","Not at risk",2018,"Red",2012,0.644497966096225,0.304593179477501,0.0509088544262746
"Vancouver Island & Mainland Inlets","Chinook",328,"West Vancouver Island-South (Fall x-1)",NA,48607,2014,2018,"High","good","Threatened",2018,"Red",2012,0.414756962071671,0.427644167696015,0.157598870232313
"Vancouver Island & Mainland Inlets","Chinook",329,"West Vancouver Island-Nootka and Kyuquot (Fall x-1)",NA,30282,2014,2018,"High","good","Threatened",2018,"Red",2012,0.545208365021993,0.310143301690248,0.144648333287759
"Vancouver Island & Mainland Inlets","Chinook",330,"West Vancouver Island-North (Fall x-1)",NA,2281,2014,2018,"High","fair","Data Deficient",2018,NA,NA,0.575316688174477,0.424683311825523,NA
"Vancouver Island & Mainland Inlets","Chinook",331,"Homathko (Summer x-x)",NA,NA,NA,NA,"None","data-deficient","Data Deficient",2015,"Data Deficient",2012,NA,0.493418949885981,0.506581050114019
"Vancouver Island & Mainland Inlets","Chinook",332,"Klinaklini (Summer 5-2)",NA,NA,NA,NA,"None","data-deficient","Data Deficient",2015,"Data Deficient",2012,0.0284241265756589,0.291961593912577,0.679614279511765
"Fraser","Chinook",333,"South Thompson-Adams River Upper",NA,101,2018,2018,"None","good",NA,NA,NA,NA,0.458950348932503,0.541049651067497,NA
"Vancouver Island & Mainland Inlets","Chinook",334,"East Vancouver Island-Georgia Strait (Summer 4-1)",NA,1031,2014,2018,"High","poor","Endangered",2018,NA,NA,0.783709087343633,0.17820865616107,0.038082256495297
"Nass","Chinook",401,"Portland Sound-Observatory Inlet-Lower Nass",NA,2052,2018,2022,"Low","good",NA,NA,NA,NA,0.102201125735578,0.4982997086142,0.399499165650222
"Nass","Chinook",402,"Upper Nass",NA,12294,2018,2022,"None","good",NA,NA,NA,NA,0.39457108344999,0.371952426666079,0.233476489883932
"Nass","Chum",404,"Portland Inlet",NA,17552,2016,2019,"Low","good",NA,NA,NA,NA,NA,0.349619410988355,0.650380589011645
"Nass","Chum",405,"Lower Nass",NA,11874,2013,2016,"None","poor",NA,NA,NA,NA,0.302526751291178,0.543690764739955,0.153782483968866
"Nass","Chum",406,"Portland Canal-Observatory",NA,72939,2019,2022,"Low","good",NA,NA,NA,NA,0.0331351846140169,0.387109051869795,0.579755763516188
"Nass","Coho",408,"Lower Nass",NA,36775,2020,2022,"Low","fair",NA,NA,NA,NA,0.275269469378225,0.556126404802088,0.168604125819687
"Nass","Coho",409,"Upper Nass",NA,89227,2020,2022,"None","good",NA,NA,NA,NA,0.364893024865884,0.445568860712436,0.189538114421679
"Nass","Coho",410,"Portland Sound-Observatory Inlet-Portland Canal",NA,41247,2020,2022,"Low","good",NA,NA,NA,NA,0.020312560544653,0.457431739293253,0.522255700162094
"Nass","Pink (even)",412,"Upper Nass (even)",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,0.480997204565711,0.519002795434289,NA
"Nass","Pink (odd)",414,"Nass-Portland-Observatory (odd)",NA,900891,2021,2021,"None","good",NA,NA,NA,NA,0.109690069863554,0.463826372808744,0.426483557327702
"Nass","Pink (odd)",415,"Upper Nass (odd)",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,0.480997204565711,0.519002795434289,NA
"Nass","Lake sockeye",418,"Clements",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,NA
"Nass","Lake sockeye",419,"Leverson",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Nass","Lake sockeye",420,"Bowser",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,0.0591798759978517,0.528914207628176,0.411905916373972
"Nass","Lake sockeye",421,"Damdochax",NA,5197,2018,2022,"None","good",NA,NA,NA,NA,NA,NA,1
"Nass","Lake sockeye",422,"Fred Wright",NA,3007,2018,2022,"None","fair",NA,NA,NA,NA,NA,1,NA
"Nass","Lake sockeye",423,"Kwinageese",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,1,NA
"Nass","Lake sockeye",424,"Meziadin",NA,159003,2018,2022,"None","good",NA,NA,NA,NA,0.374840165712925,0.343379095739154,0.281780738547922
"Nass","Lake sockeye",425,"Oweegee",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,1,NA,NA
"Nass","River sockeye",426,"Lower Nass-Portland (river-type)",NA,28265,2019,2022,"None","good",NA,NA,NA,NA,0.709878976893538,0.290121023106462,NA
"Nass","River sockeye",427,"Upper Nass River (river-type)",NA,428,2019,2022,"None","good",NA,NA,NA,NA,0.611378055081663,0.164744425730388,0.223877519187949
"Central Coast","Chum",500,"Smith Inlet",NA,6547,2018,2021,"None","poor",NA,NA,NA,NA,0.198973358168018,0.360116662836775,0.440909978995207
"Central Coast","Chum",501,"Rivers Inlet",NA,4396,2018,2021,"None","poor",NA,NA,NA,NA,0.0646508892569244,0.785752934882434,0.149596175860641
"Central Coast","Chum",502,"Wannock",NA,NA,NA,NA,"Low","data-deficient",NA,NA,NA,NA,NA,0.4473574566656,0.552642543334399
"Central Coast","Chum",503,"Spiller-Fitz-Hugh-Burke",NA,91839,2018,2021,"Moderate","fair",NA,NA,NA,NA,0.183229639128121,0.166295433544085,0.650474927327795
"Central Coast","Chum",504,"Bella Coola-Dean Rivers",NA,115116,2018,2021,"Moderate","good",NA,NA,NA,NA,0.336357942609143,0.422428418258406,0.24121363913245
"Central Coast","Chum",505,"Bella Coola River-Late",NA,6325,2018,2021,"Moderate","fair",NA,NA,NA,NA,1,NA,NA
"Central Coast","Chum",506,"Hecate Lowlands",NA,33474,2018,2021,"Moderate","poor",NA,NA,NA,NA,0.0062045945419336,0.109815233142849,0.883980172315217
"Central Coast","Chum",507,"Mussel-Kynoch",NA,21837,2018,2021,"None","fair",NA,NA,NA,NA,NA,NA,1
"Central Coast","Chum",508,"Douglas-Gardner",NA,54355,2018,2021,"Moderate","poor",NA,NA,NA,NA,0.118644056658484,0.359464711529364,0.521891231812152
"Central Coast","Chinook",509,"Docee",NA,439,2008,2011,"None","poor",NA,NA,NA,NA,0.434679048449094,0.565320951550906,NA
"Central Coast","Chinook",510,"Rivers Inlet",NA,817,2013,2017,"Low","fair",NA,NA,NA,NA,0.0499020519966405,0.4472780472524,0.502819900750959
"Central Coast","Chinook",511,"Wannock",NA,6468,2013,2017,"Moderate","good",NA,NA,NA,NA,NA,0.4473574566656,0.552642543334399
"Central Coast","Chinook",512,"Bella Coola-Bentinck",NA,22821,2013,2017,"High","good",NA,NA,NA,NA,0.406559149516263,0.252570724441334,0.340870126042403
"Central Coast","Chinook",513,"Dean River",NA,2217,2013,2017,"None","good",NA,NA,NA,NA,0.0747307844458621,0.443309831070816,0.481959384483322
"Central Coast","Chinook",514,"North & Central Coast-Late",NA,1080,2017,2020,"None","fair",NA,NA,NA,NA,NA,0.106037459262181,0.89396254073782
"Central Coast","Chinook",515,"North & Central Coast-Early",NA,891,2013,2017,"Moderate","good",NA,NA,NA,NA,0.13134644870738,0.283584175229783,0.585069376062837
"Central Coast","Coho",516,"Smith Inlet",NA,9038,2012,2014,"None","good",NA,NA,NA,NA,0.317510122676387,0.328474576035185,0.354015301288429
"Central Coast","Coho",517,"Rivers Inlet",NA,137001,2011,2013,"Moderate","good",NA,NA,NA,NA,0.0519209825190676,0.585600897632288,0.362478119848644
"Central Coast","Coho",518,"Bella Coola-Dean Rivers",NA,19375,2019,2021,"Moderate","fair",NA,NA,NA,NA,0.502415405509157,0.397353380231753,0.100231214259089
"Central Coast","Coho",519,"Mussel-Kynoch",NA,2207,2019,2021,"None","poor",NA,NA,NA,NA,NA,0.126413573424202,0.873586426575798
"Central Coast","Coho",520,"Hecate Strait Mainland",NA,40107,2019,2021,"Moderate","poor",NA,NA,NA,NA,0.0536444575573183,0.166394505000273,0.779961037442409
NA,NA,521,NA,NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA
"Central Coast","Coho",522,"Douglas Channel-Kitimat Arm",NA,113392,2019,2021,"Moderate","good",NA,NA,NA,NA,0.276680448037884,0.336104123635187,0.38721542832693
"Central Coast","Coho",523,"Northern Coastal Streams",NA,72291,2019,2021,"Low","good",NA,NA,NA,NA,0.0727959905871936,0.239813163378345,0.687390846034461
"Central Coast","Lake sockeye",524,"Long",NA,59096,2010,2014,"Low","fair",NA,NA,NA,NA,NA,0.296702988020697,0.703297011979303
"Central Coast","Lake sockeye",525,"Owikeno",NA,191314,2015,2019,"Low","poor",NA,NA,NA,NA,0.0487053129082989,0.15983208673372,0.791462600357981
"Central Coast","Lake sockeye",527,"Wannock (Owikeno)",NA,NA,NA,NA,"Low","data-deficient",NA,NA,NA,NA,0.0487053129082989,0.15983208673372,0.791462600357981
"Central Coast","Lake sockeye",528,"South Atnarko Lakes",NA,NA,NA,NA,"High","data-deficient",NA,NA,NA,NA,0.163866990527292,0.188603197541569,0.647529811931139
"Central Coast","Lake sockeye",529,"Backland",NA,36,2017,2021,"None","poor",NA,NA,NA,NA,NA,0.288081707694864,0.711918292305136
"Central Coast","Lake sockeye",530,"Soda Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",532,"Canoona",NA,3305,2018,2021,"None","good",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",533,"Dome",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",534,"Evelyn",NA,1300,2017,2021,"None","good",NA,NA,NA,NA,NA,1,NA
"Central Coast","Lake sockeye",535,"Kainet Creek",NA,1151,2017,2021,"None","fair",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",536,"Kimsquit",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",537,"Kitkiata",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,1,NA
"Central Coast","Lake sockeye",538,"Kitlope",NA,14780,2017,2021,"None","poor",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",539,"Pine River",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",540,"Banks",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",541,"Bloomfield",NA,810,2021,2021,"None","fair",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",542,"Bolton Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",543,"Bonilla",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",544,"Borrowman Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",545,"Busey Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",546,"Cartwright Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",547,"Chic Chic",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",548,"Tuwartz",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",549,"Fannie Cove",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",550,"Curtis Inlet",NA,2710,2013,2015,"Moderate","poor",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",551,"Dallain Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",552,"Deer",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",553,"Devon",NA,5018,2013,2017,"None","good",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",554,"Douglas Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",555,"Elizabeth",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",556,"Elsie/Hoy",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,1,NA
"Central Coast","Lake sockeye",557,"End Hill Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",558,"Evinrude Inlet",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",559,"Freeda",NA,600,2020,2020,"None","good",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",560,"Hartley Bay",NA,1145,2017,2021,"None","good",NA,NA,NA,NA,NA,1,NA
"Central Coast","Lake sockeye",561,"Hevenor Inlet",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",562,"Higgins Lagoon",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",563,"Kadjusdis River",NA,3800,2017,2021,"Low","fair",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",564,"Kdelmashan Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",565,"Keecha",NA,2284,2014,2017,"None","fair",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",566,"Kent Inlet Lagoon Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",567,"Kenzuwash Creeks",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",568,"Keswar Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",569,"Kildidt Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",570,"Kildidt Lagoon Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",571,"Kisameet",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",572,"Koeye",NA,7488,2017,2021,"None","good",NA,NA,NA,NA,NA,0.124596425156009,0.875403574843992
