,% Area of Spawning Habitat,,,
Indicator,High Risk,Moderate Risk,Low Risk,Data Deficient
Total Landcover Alteration,69% (102),22% (32),9% (14),0% (0)
Forest Disturbance,57% (85),18% (27),14% (20),11% (16)
Impervious Surfaces,11% (17),80% (118),9% (13),0% (0)
Mines,36% (54),n/a,64% (94),0% (0)
Linear Development,72% (106),23% (35),5% (7),0% (0)
Road Development,97% (144),3% (4),0% (0),0% (0)
Stream Crossing Density,14% (21),76% (112),10% (15),0% (0)
Riparian Disturbance,91% (134),8% (12),1% (2),0% (0)
Water Licenses,89% (131),n/a,11% (17),0% (0)
Waste Water Discharges,20% (29),n/a,80% (119),0% (0)
Equivalent Clearcut Area,76% (113),13% (19),11% (16),0% (0)
Insect and Disease Defoliation,24% (36),74% (109),2% (3),0% (0)
Cumulative Pressures,95% (140),5% (8),0% (0),0% (0)
